"Time","alice outbound","bob outbound","charlie outbound","dave outbound","erin outbound","frank outbound","ian outbound","jade outbound","luke outbound","mike outbound"
1735052400000,undefined,6329.777777777777,7322.066666666667,10232,undefined,2454.5555555555557,5794.8,11577.71111111111,undefined,590.5111111111111
1735059600000,undefined,24399.022222222222,91062.04444444443,51346.55555555555,undefined,2854.3333333333335,22752.24444444444,19725.71111111111,undefined,826.8
1735066800000,undefined,14247.911111111109,12833.511111111111,15477.888888888887,undefined,2425.888888888889,12491.066666666668,14728.266666666666,undefined,594.5111111111111
1735074000000,undefined,7111.266666666666,7542.711111111111,19256.91111111111,undefined,3571.3269457350552,11756.377777777778,10339.577777777777,undefined,608.3555555555555
1735081200000,undefined,12476,13469.777777777777,201225.4222222222,undefined,2178.8888888888887,8981.466666666667,10265.844444444443,undefined,539.1777777777777
1735088400000,undefined,10422.31111111111,8754.666666666666,10668.333333333334,undefined,2897.7111111111108,28272.244444444445,24088.777777777774,undefined,386.5777777777777
1735095600000,undefined,9139.155555555555,11333.888888888887,14175.155555555555,undefined,38579.088888888895,10668.422222222223,12773.866666666667,undefined,615.5555555555555
1735102800000,undefined,6361.044444444444,9700.177777777777,8025.644444444444,undefined,1960.0222222222221,8794.688888888888,9281.4,undefined,336.1111111111111
1735110000000,undefined,21629.711111111108,11337,27614.222222222223,undefined,1324.6666666666667,22133.266666666666,19027.133333333335,undefined,754.0444444444444
1735117200000,undefined,114506.57777777777,56772.37777777777,36167.777777777774,undefined,2833.866666666667,49313.35555555555,47250.75555555556,undefined,987.7555555555555
1735124400000,undefined,68980.64444444444,38761.55555555555,152198.93333333332,undefined,27811.688888888886,64228.22222222222,52123.62222222222,undefined,1830.177777777778
1735131600000,undefined,18161.644444444442,25140.555555555555,85283.86666666667,undefined,4871.222222222222,26185.888888888887,30380.666666666668,undefined,529.2666666666667
1735138800000,undefined,16834.466666666667,45450.044444444444,27177.62222222222,undefined,3057.147935830778,20596.066666666662,26638.577777777777,undefined,728.5111111111111
1735146000000,undefined,17931.266666666666,14891.844444444443,19919.844444444447,undefined,2898.777777777778,10676.822222222223,4543.688888888889,undefined,673.8444444444444
1735153200000,undefined,89789,95933.9111111111,75541.6,undefined,3004.2888888888892,94401.75555555554,59123.55555555555,undefined,2333.1333333333328
1735160400000,undefined,161548.24444444443,14285.355555555554,114193.9111111111,undefined,27175.2,34031.88888888889,26840.222222222223,undefined,860.3555555555555
1735167600000,undefined,12451.822222222221,14879.977777777776,17175.51111111111,undefined,4414.333333333333,16918.555555555555,14013.177777777777,undefined,700.311111111111
1735174800000,undefined,9724.266666666666,6890.911111111111,18758.17777777778,undefined,2904.3777777777777,12388.799999999997,10186.822222222221,undefined,476.97777777777776
1735182000000,undefined,28202.11111111111,12344.955555555554,16214.02222222222,undefined,1743.5111111111112,29819.17777777778,22172.01768613771,undefined,742.2
1735189200000,undefined,21080.31111111111,26382.977777777774,77073.93333333333,undefined,3116.133333333333,23338.6,19267.82222222222,undefined,1315.6888888888889
1735196400000,undefined,15904.822222222221,21626.711111111108,70939.8,undefined,506.8666666666667,20217.6,14728.533333333333,undefined,990.2666666666665
