"Time","alice inbound","bob inbound","charlie inbound","dave inbound","erin inbound","frank inbound","ian inbound","jade inbound","luke inbound","mike inbound"
1733022000000,37297.35555555555,44446.26666666667,47729.64444444444,113558.66666666667,undefined,233.84444444444443,43893.71111111111,undefined,41391.37777777777,6576.2
1733029200000,13259.91111111111,8079.622222222222,6711.977777777777,15447.133333333331,undefined,455.35555555555555,7392.2,undefined,5980.266666666666,1855.4666666666667
1733036400000,10611.155555555555,6849.266666666666,7515.644444444444,16225.31111111111,undefined,348.24444444444447,8380.044444444444,undefined,7593.377777777777,2440.0444444444443
1733043600000,9818.177777777777,9242.888888888887,10116.688888888888,22995.955555555553,undefined,379.37777777777774,10598.266666666666,undefined,7984.555555555556,3007.755555555555
1733050800000,15968.444444444443,14334.533333333331,17252.666666666668,36917.24444444444,undefined,313.68888888888887,18380.177777777775,undefined,0,2517.111111111111
1733058000000,19870.888888888887,23896.022222222222,27715.977777777774,48342.73333333333,undefined,469.33878421613935,18669.42222222222,undefined,0,6232.888888888889
1733065200000,8406.75141117383,7609.7555555555555,8554.644444444444,17875.48888888889,undefined,297.7777777777777,9204.31111111111,undefined,0,1519.8
1733072400000,22542.466666666667,31333.02222222222,31927.2,70853.55555555555,undefined,408.9111111111111,30094.577777777777,undefined,26845.28888888889,8451.888888888889
1733079600000,8350.777777777777,10325.22222222222,10630.111111111111,23196.355555555554,undefined,359.9555555555555,10739.688888888888,undefined,10223.422222222223,1967.4
1733086800000,50518.6,52337.11111111111,50079.46666666666,128111.64444444444,undefined,541,51242.8,undefined,53062.022222222215,5795.222222222222
1733094000000,6045.955555555555,5951.577777777778,6658.0888888888885,16288.71111111111,undefined,33984.46666666667,7128.111111111111,undefined,6505.888888888889,1007.7777777777777
1733101200000,7408.333333333333,7286.51111111111,8120.844444444444,16299.266666666666,undefined,285.8444444444445,8321.466666666667,undefined,7374.733333333333,1531.8222222222219
1733108400000,5741.888888888889,5428.355555555555,6489.466666666666,12637.822222222221,undefined,396.68888888888887,6355.266666666666,undefined,6429.266666666666,1310.1111111111109
1733115600000,5638.644444444445,6108.466666666665,6880.4,15552.977777777776,undefined,381.08888888888885,7472.466666666666,undefined,6563.799999999999,981.311111111111
1733122800000,6462.5777777777785,5920.777777777777,6206.11111111111,13255.8,undefined,423.6666666666667,7347.466666666665,undefined,5771.6,1182.2222222222222
1733130000000,7701.733333333334,8698.8,10127.68888888889,18539.24444444444,undefined,369.8444444444444,7886.7555555555555,undefined,7797.377777777778,1800.511111111111
1733137200000,29963.666666666668,26947.48888888889,20813.755555555555,67275.2,undefined,658.0666666666667,125724.04444444443,undefined,18723.2,3818.1999999999994
1733144400000,9883.977777777776,11022.955555555556,12453.644444444444,24697.955555555553,undefined,48.68888888888889,11864.866666666667,undefined,11072.044444444444,3232.3555555555554
1733151600000,6070,2848.1999999999994,3095.0666666666666,3260.9555555555553,3412.5555555555557,22.022222222222222,3387.9333333333334,3728.644444444444,11178.488888888889,2848.7999999999997
1733158800000,7076.888888888889,4270.4,5508.711111111111,6665.577777777778,5182.933333333333,29.177777777777774,3547.7111111111108,6508.355555555555,4446.266666666666,2977.311111111111
1733166000000,3813.5333333333333,2950.8222222222225,2916.5333333333333,3319.0444444444443,4849.288888888888,62.66666666666666,5126.533333333334,3766.777777777778,3416.755555555555,2546.355555555556
1733173200000,5573.133333333333,4355.066666666667,3902.5777777777776,4547.644444444445,4717.244444444444,84.77777777777779,5133.777777777777,4663.155555555555,4315.644444444444,3401.4444444444443
1733180400000,5578.133333333333,4441.377777777777,3656.422222222222,5511.288888888888,4628.977777777777,37.733333333333334,4515.022222222222,4591.8,4470,2795.4444444444443
1733187600000,10324.177777777777,5288.866666666667,5844.977777777777,7968.11111111111,6428.4222222222215,25.177777777777774,6299.844444444444,7492.911111111111,5420.733333333334,3028.0444444444443
1733194800000,24315.633758953598,13337.571971633726,13122.02222222222,18654.955555555553,15226.644444444444,38.51285244151917,15145.71111111111,15776.866666666667,16149.4,5662.222222222222
1733202000000,6628.933333333333,5333.866666666667,5325.622222222222,7612.044444444444,4013.9555555555553,42.333333333333336,4039.6888888888884,4385.622222222222,4670.333333333333,2847.311111111111
1733209200000,12895.422222222222,6061,5248.666666666667,9356.333333333334,6646.933333333333,32.422222222222224,8897.31111111111,7474.022222222222,6847.333333333333,2318.755555555555
1733216400000,11153.888888888889,4995.711111111111,5469.644444444444,7262.133333333333,5131.866666666667,32086.844444444443,110246.28888888888,5745.288888888888,5077.666666666667,2420.777777777778
1733223600000,8761.044444444444,5467.31111111111,5958.222222222222,9169.333333333334,6886.977777777777,56.08888888888888,7974.799999999999,7118.777777777777,5429.555555555556,1996.5999999999997
1733230800000,10375.511111111111,6383.4,6346.244444444444,8912.488888888889,7502.266666666666,33.666666666666664,8695.044444444444,7713.8,7356.377777777778,2015.511111111111
1733238000000,10533,6567.31111111111,6636.311111111111,8354.888888888889,7503.533333333334,33.4,8855.02222222222,10240.488888888887,9350.288888888888,2009.8222222222219
1733245200000,11374.266666666666,9617.644444444444,9013.599999999999,15121.688888888888,10866.71111111111,35.333333333333336,12512.977777777776,10198.266666666666,9630.822222222221,3722.1999999999994
1733252400000,9036.422222222223,7807.2444444444445,6262.886597938145,8732.888888888889,8689.244444444445,48.8,9611.22222222222,7169.288888888888,6692.622222222222,2083.0888888888885
1733259600000,13275.466666666667,12015.266666666666,10959.6,16928.355555555554,20246.155555555553,34161.35555555556,15988.511111111111,10994.355555555554,13444.8,3782.3555555555554
1733266800000,6530.51111111111,4751.488888888888,5018.155555555555,6691.288888888888,5975.466666666666,98.64444444444445,6824.044444444444,5740.866666666667,5075.8,1749.7555555555555
1733274000000,9679.933333333332,7466.622222222222,6748.177777777777,10886.066666666664,7302.977777777777,63.02222222222222,7629.222222222222,7426.2,6695.177777777777,3122.6666666666665
1733281200000,7351.977777777777,5231.31111111111,5667.688888888889,10214.511111111111,5277.022222222222,39.15555555555555,5250.0888888888885,6079.9111111111115,4580.901149220886,1564.133333333333
1733288400000,9115.822222222221,7300.377777777777,6148.311111111111,14489.466666666667,6904.733333333334,58.577777777777776,11356.555555555555,7422.977777777778,6862.7555555555555,1541.1555555555556
1733295600000,12942.755555555554,9766.088888888888,8205.666666666666,13372.577777777777,10559.8,62.222222222222214,11767.844444444443,9456.511111111111,9606.68888888889,2973.4888888888886
1733302800000,39786.84444444444,28025.333333333332,27137.666666666664,36739.82222222222,38770.177777777775,50.733333333333334,34459.26666666667,35008.55555555555,36867.422222222216,8201.866666666667
1733310000000,8032.777777777777,9108.933333333332,6920.844444444444,11192.91111111111,7099.444444444443,66.86666666666666,6685.844444444444,7458.5777777777785,6379.11111111111,2020.0444444444443
1733317200000,16442.444444444445,12087.91111111111,9814.644444444444,16080.555555555555,10795.422222222222,66.62222222222222,12177.733333333332,13414.111111111111,11822.666666666666,2543.622222222222
1733324400000,15458.955555555556,13738.444444444443,12819.977777777776,19119.71111111111,13102.533333333333,101.62222222222222,15872.199999999999,12429.133333333333,15604.577777777777,2903.777777777778
1733331600000,11722.511111111111,10175.422222222223,9515.488888888887,14720.62222222222,10528.799999999997,50.599999999999994,11092.444444444443,9848.422222222222,13403.422222222222,2583.9777777777776
1733338800000,9487.4,12217.333333333334,9164.955555555554,16204.044444444444,9835.733333333334,42.977777777777774,11904.555555555555,9534.777777777777,12694.977777777776,2602.7111111111108
1733346000000,28127.31111111111,20280.244444444445,20732.466666666667,32989.444444444445,25639.04444444444,64.42222222222222,26049.133333333335,28068.666666666668,24526.31111111111,3936.266666666667
1733353200000,6387.866666666666,5170.177777777777,4788.844444444444,8794.91111111111,6518.955555555555,50.666666666666664,5883.044444444444,6179.4,5431.733333333334,1186.4222222222222
1733360400000,43115.2,33627.86666666666,29721.28888888889,111900.37777777779,36628.82222222222,35.91111111111111,36497.11111111111,31566.777777777774,37802.6,7616.2666666666655
1733367600000,30528.11111111111,17926.022222222222,14798.844444444443,24397.711111111108,21279.155555555553,81.62222222222222,23168.666666666664,19728.311111111114,19772.755555555555,3342.644444444444
1733374800000,10901.422222222222,6685.066666666666,6943.4222222222215,10337.2,8473.844444444443,50.95555555555555,8608.555555555555,7644.11111111111,8382.31111111111,1520.2222222222222
1733382000000,25629.022222222222,17034.044444444444,14054.888888888887,26139.82222222222,20983.355555555554,51.288888888888884,22059.866666666665,19369.24444444444,17943.777777777774,2885.4222222222224
1733389200000,12373.066666666668,9844.511111111111,7599.4222222222215,15251.911111111109,11924.91111111111,51,13706.422222222223,10140.933333333332,13625.799999999997,2087.0444444444443
1733396400000,13575.133333333331,13767.666666666666,10193.044444444444,17170.755555555555,11529.2,112.15555555555555,12451.822222222221,11955.71111111111,0,2832.4444444444443
1733403600000,40086.666666666664,18455.28888888889,14334.822222222221,34105.177777777775,22159.222222222223,219.0222222222222,25123.44444444444,21680.04444444444,0,2682.488888888889
1733410800000,12755.799999999997,13732.066666666664,72109.97777777778,21387.999999999996,13014.333333333334,72.51882956741983,12166.31111111111,13208.888888888889,0,1791.511111111111
1733418000000,33282.57777777778,20666.333333333332,19638.133333333335,34928.37777777777,22184.4,428.51111111111106,24939.088888888888,23429.844444444447,0,7784.11111111111
1733425200000,21702.666666666664,13345.866666666665,9626.177777777777,19094.42222222222,11224.8,128.53333333333333,12817.266666666665,10148.511111111111,0,2442.311111111111
1733432400000,10721.044444444444,13260.866666666667,9820.888888888887,20474.230931779257,11623.355555555554,963.9777777777778,11943.688888888888,10224.777777777777,0,2959.533333333333
1733439600000,8783.244444444445,9879.355555555554,7974.066666666666,14323.066666666664,8536.08888888889,306.17777777777775,8690.844444444443,8643.466666666665,0,1973.711111111111
1733446800000,11389.31111111111,10196.777777777777,8947.066666666668,16846.244444444445,9070.933333333332,38964.933333333334,7993.6,8789.155555555555,0,3523.733333333333
1733454000000,7900.666666666666,9454.266666666666,7119.688888888889,13341.066666666668,7166.11111111111,156.4243326739715,8363.777777777777,7905.629764630053,0,2112.8
1733461200000,29274.933333333334,10773.8,9762.22222222222,23077.28888888889,9852.777777777777,341.46666666666664,14631.933333333332,10833.844444444443,0,4084.222222222222
1733468400000,8340.466666666665,7151.688888888889,7600.6,11938.666666666666,7189.844444444445,183.9111111111111,7510.244444444444,6937.11111111111,0,2680.422222222222
1733475600000,8769.8,9758.733333333334,8753.133333333333,16587.622222222224,7989.999999999999,320.77777777777777,8513.2,8288.6,0,2008.511111111111
1733482800000,13405.133333333331,13151.259384301009,12126.2,21075.355555555554,12457.755555555554,27699.11111111111,12910.244444444445,11420.977777777776,0,4809.644444444444
1733490000000,8053.688888888888,8062.244444444444,7331.4,12355.933333333332,8418.488888888889,155.7111111111111,9607.733333333334,6604.9333333333325,0,1071.3111111111111
1733497200000,10348.777777777777,9032.533333333333,8927.46344281968,18729.777777777777,9318.2,215.04444444444442,9589.4,9195.422222222222,0,1565.888888888889
1733504400000,13426.577777777777,14780.422222222222,12903.31111111111,22112.688888888886,14707.955555555554,419.1555555555555,14638.777777777777,13178.866666666667,0,4866.288888888888
1733511600000,11818.155555555557,13123.755555555554,13457.288888888888,19878.6,11568.91111111111,84.57777777777777,13282.555555555557,12654.755555555555,undefined,2555.222222222222
1733518800000,7813.733333333333,8232.08888888889,7615.822222222222,15344.644444444444,8042.2666666666655,291.9111111111111,9072.688888888888,7422,undefined,1993.4222222222222
1733526000000,52715.333333333336,34134.53333333333,34551.02222222222,67256.26666666666,32328.955555555553,466.08888888888885,34264.8,29608.511111111107,undefined,7504
1733533200000,34271.4,38966.26666666667,37890.11111111111,69590.55555555555,36251.666666666664,342,32922.02222222222,28361.15555555555,undefined,6494.7555555555555
1733540400000,10164.822222222221,8760.466666666667,8907.666666666666,15497.822222222221,8682.155555555555,416.22222222222223,9026.933333333332,8395.044444444444,undefined,3262.022222222222
1733547600000,9200.333333333334,7885.666666666667,7757.977777777777,13786.4,7085.444444444443,1411.3333333333333,8121.4222222222215,6985.155555555555,undefined,3319.888888888889
1733554800000,4553.733333333334,5177.11111111111,4031.0666666666666,8176.666666666667,4947.444444444443,395.1777777777778,5470.244444444444,4320.533333333334,undefined,767.3777777777777
1733562000000,6447.555555555556,5973.955555555555,6132.8,11502.377777777778,6727.733333333334,438.97777777777776,6839.4,6331.711111111112,undefined,2281.9555555555557
1733569200000,15525.62222222222,10709.511111111111,13536.488888888887,20828.244444444445,13698.02222222222,125.88888888888889,13046.31111111111,11711.533333333333,undefined,3993.3333333333335
1733576400000,19897.888888888887,10918.777777777777,11273.888888888889,25649.066666666662,7617.2,382.73333333333335,11156.8,8946.266666666665,undefined,2689.933333333333
1733583600000,12517.644444444444,12819.31111111111,10861.955555555554,23062.91111111111,11487.511111111111,259.68888888888887,11252.377777777778,10007.866666666667,undefined,3253.8630855770725
